Detailed;;;;;;;
Position X;Position Y;Position Z;Unit;Category;Collection;Time;ID
1334,38;769,34;3632,37;um;Spot;Position;1;0
1458,12;949,24;3622,20;um;Spot;Position;1;1
1657,48;1009,74;3624,36;um;Spot;Position;1;2
1655,67;1000,01;3630,93;um;Spot;Position;1;3
1650,39;1006,42;3628,72;um;Spot;Position;1;4
1647,15;1023,34;3628,91;um;Spot;Position;1;5
1458,33;949,57;3634,24;um;Spot;Position;1;6
1648,19;1010,42;3631,94;um;Spot;Position;1;7
984,80;814,20;3682,67;um;Spot;Position;1;8
973,86;809,45;3688,26;um;Spot;Position;1;9
1334,65;769,41;3642,71;um;Spot;Position;1;10
1330,43;640,97;3659,75;um;Spot;Position;1;11
1233,67;689,75;3661,64;um;Spot;Position;1;12
1284,75;604,96;3666,18;um;Spot;Position;1;13
1172,25;694,51;3665,46;um;Spot;Position;1;14
1233,93;689,77;3673,50;um;Spot;Position;1;15
1172,38;694,96;3677,24;um;Spot;Position;1;16
1394,58;815,22;3644,78;um;Spot;Position;1;17
1619,26;827,93;3644,02;um;Spot;Position;1;18
1620,88;818,79;3647,42;um;Spot;Position;1;19
1620,06;822,79;3647,18;um;Spot;Position;1;20
1620,33;822,98;3655,85;um;Spot;Position;1;21
1619,57;828,40;3655,52;um;Spot;Position;1;22
1587,83;647,38;3673,28;um;Spot;Position;1;23
1638,67;793,82;3677,84;um;Spot;Position;1;24
686,09;1017,19;3693,52;um;Spot;Position;1;25
805,07;999,77;3695,61;um;Spot;Position;1;26
590,90;1010,78;3695,92;um;Spot;Position;1;27
1034,41;841,99;3648,26;um;Spot;Position;1;28
944,97;924,48;3654,88;um;Spot;Position;1;29
992,87;871,46;3671,96;um;Spot;Position;1;30
957,39;861,49;3687,20;um;Spot;Position;1;31
959,80;898,69;3685,05;um;Spot;Position;1;32
911,11;921,90;3689,59;um;Spot;Position;1;33
928,84;928,08;3690,43;um;Spot;Position;1;34
921,95;930,39;3690,45;um;Spot;Position;1;35
909,08;867,15;3691,41;um;Spot;Position;1;36
911,03;907,05;3691,53;um;Spot;Position;1;37
917,85;909,86;3692,95;um;Spot;Position;1;38
1019,34;952,24;3692,48;um;Spot;Position;1;39
906,74;898,79;3696,45;um;Spot;Position;1;40
909,64;954,97;3696,59;um;Spot;Position;1;41
906,19;962,26;3697,73;um;Spot;Position;1;42
1138,89;883,89;3666,99;um;Spot;Position;1;43
1362,42;930,77;3670,03;um;Spot;Position;1;44
1179,24;1012,72;3671,09;um;Spot;Position;1;45
1139,68;884,59;3681,35;um;Spot;Position;1;46
1362,50;931,35;3680,31;um;Spot;Position;1;47
1221,79;902,17;3689,10;um;Spot;Position;1;48
1255,44;896,86;3698,12;um;Spot;Position;1;49
1221,97;902,45;3698,55;um;Spot;Position;1;50
1613,97;830,50;3640,46;um;Spot;Position;1;51
1607,75;864,56;3641,49;um;Spot;Position;1;52
1605,70;872,80;3640,16;um;Spot;Position;1;53
1656,11;1000,51;3641,78;um;Spot;Position;1;54
1652,51;1005,76;3641,89;um;Spot;Position;1;55
1657,16;1006,51;3641,90;um;Spot;Position;1;56
1647,70;1024,97;3641,29;um;Spot;Position;1;57
1593,17;874,49;3644,18;um;Spot;Position;1;58
1428,14;927,66;3644,17;um;Spot;Position;1;59
1606,20;872,89;3646,33;um;Spot;Position;1;60
1593,23;944,89;3647,10;um;Spot;Position;1;61
1607,90;865,12;3650,99;um;Spot;Position;1;62
1593,08;874,81;3655,57;um;Spot;Position;1;63
1428,38;928,02;3655,64;um;Spot;Position;1;64
1593,48;945,41;3655,84;um;Spot;Position;1;65
1642,20;1002,04;3654,41;um;Spot;Position;1;66
1651,20;1005,82;3655,08;um;Spot;Position;1;67
1642,68;1002,59;3661,31;um;Spot;Position;1;68
1650,86;1006,22;3663,99;um;Spot;Position;1;69
1637,64;960,78;3666,02;um;Spot;Position;1;70
1681,24;883,10;3641,88;um;Spot;Position;1;71
1670,62;991,40;3641,58;um;Spot;Position;1;72
1675,52;992,50;3641,36;um;Spot;Position;1;73
1672,07;902,35;3643,34;um;Spot;Position;1;74
1673,76;911,25;3645,17;um;Spot;Position;1;75
1672,65;915,06;3643,72;um;Spot;Position;1;76
1661,82;986,59;3644,04;um;Spot;Position;1;77
1661,87;993,29;3644,20;um;Spot;Position;1;78
1666,00;1006,07;3643,76;um;Spot;Position;1;79
1671,93;1004,11;3647,13;um;Spot;Position;1;80
1681,58;883,58;3650,69;um;Spot;Position;1;81
1672,10;902,42;3651,02;um;Spot;Position;1;82
1717,05;1004,92;3653,50;um;Spot;Position;1;83
1662,47;987,08;3655,52;um;Spot;Position;1;84
1672,37;1004,83;3655,02;um;Spot;Position;1;85
1756,89;1051,78;3657,06;um;Spot;Position;1;86
1713,66;1012,60;3657,91;um;Spot;Position;1;87
1717,11;1004,97;3662,15;um;Spot;Position;1;88
1713,75;1012,95;3665,26;um;Spot;Position;1;89
1818,54;932,65;3670,67;um;Spot;Position;1;90
1832,09;1021,39;3671,12;um;Spot;Position;1;91
1835,51;1016,88;3676,07;um;Spot;Position;1;92
1821,64;1027,68;3674,96;um;Spot;Position;1;93
1837,82;1034,12;3676,40;um;Spot;Position;1;94
1817,34;1038,36;3678,46;um;Spot;Position;1;95
1830,45;1040,84;3678,11;um;Spot;Position;1;96
1831,04;1010,51;3681,84;um;Spot;Position;1;97
1843,11;1011,91;3680,29;um;Spot;Position;1;98
1789,97;1014,88;3682,13;um;Spot;Position;1;99
1816,82;1019,53;3680,66;um;Spot;Position;1;100
1804,17;1026,14;3681,91;um;Spot;Position;1;101
1841,77;1042,35;3681,13;um;Spot;Position;1;102
1794,16;1006,26;3685,77;um;Spot;Position;1;103
1823,25;1017,18;3685,64;um;Spot;Position;1;104
1843,60;1024,80;3687,15;um;Spot;Position;1;105
1805,88;1032,98;3684,19;um;Spot;Position;1;106
1838,40;1010,53;3688,78;um;Spot;Position;1;107
1782,86;1016,18;3688,98;um;Spot;Position;1;108
1713,15;962,73;3694,38;um;Spot;Position;1;109
1812,54;1002,84;3693,03;um;Spot;Position;1;110
1693,63;1001,82;3698,71;um;Spot;Position;1;111
1829,56;1010,19;3695,54;um;Spot;Position;1;112
1792,82;1019,80;3695,37;um;Spot;Position;1;113
589,36;1118,23;3689,62;um;Spot;Position;1;114
898,18;1698,01;3681,91;um;Spot;Position;1;115
1540,20;1886,06;3663,06;um;Spot;Position;1;116
1146,87;470,18;3734,13;um;Spot;Position;1;117
718,24;759,81;3704,80;um;Spot;Position;1;118
815,31;666,76;3735,24;um;Spot;Position;1;119
790,47;781,05;3747,63;um;Spot;Position;1;120
1014,11;740,59;3700,42;um;Spot;Position;1;121
931,64;815,15;3714,26;um;Spot;Position;1;122
969,47;719,06;3719,18;um;Spot;Position;1;123
923,19;814,47;3718,05;um;Spot;Position;1;124
1038,16;588,77;3732,42;um;Spot;Position;1;125
887,97;691,80;3747,55;um;Spot;Position;1;126
874,44;693,22;3752,11;um;Spot;Position;1;127
1640,28;757,69;3727,16;um;Spot;Position;1;128
401,28;997,08;3705,95;um;Spot;Position;1;129
400,94;991,25;3708,97;um;Spot;Position;1;130
394,39;997,60;3713,18;um;Spot;Position;1;131
403,02;1006,23;3713,08;um;Spot;Position;1;132
401,50;995,89;3715,56;um;Spot;Position;1;133
403,11;1006,39;3722,42;um;Spot;Position;1;134
394,58;997,88;3725,72;um;Spot;Position;1;135
666,84;953,08;3700,55;um;Spot;Position;1;136
693,08;947,41;3708,99;um;Spot;Position;1;137
666,92;953,76;3707,70;um;Spot;Position;1;138
639,21;1032,70;3708,13;um;Spot;Position;1;139
788,82;922,20;3718,17;um;Spot;Position;1;140
913,46;876,30;3700,81;um;Spot;Position;1;141
905,12;886,91;3699,84;um;Spot;Position;1;142
892,04;913,30;3701,21;um;Spot;Position;1;143
885,34;919,34;3701,30;um;Spot;Position;1;144
958,82;934,49;3700,00;um;Spot;Position;1;145
985,76;942,83;3701,78;um;Spot;Position;1;146
932,21;874,23;3704,99;um;Spot;Position;1;147
907,26;900,86;3704,27;um;Spot;Position;1;148
937,18;943,65;3703,94;um;Spot;Position;1;149
1039,17;946,60;3704,03;um;Spot;Position;1;150
929,22;963,80;3705,58;um;Spot;Position;1;151
884,44;885,39;3708,69;um;Spot;Position;1;152
897,89;906,70;3708,01;um;Spot;Position;1;153
895,22;936,94;3708,18;um;Spot;Position;1;154
938,96;983,41;3712,74;um;Spot;Position;1;155
1056,01;982,49;3710,87;um;Spot;Position;1;156
936,25;859,80;3720,57;um;Spot;Position;1;157
1034,95;967,19;3717,80;um;Spot;Position;1;158
973,92;972,88;3721,27;um;Spot;Position;1;159
966,61;1003,07;3718,74;um;Spot;Position;1;160
928,59;1003,27;3723,60;um;Spot;Position;1;161
983,67;1003,58;3725,76;um;Spot;Position;1;162
959,24;1013,23;3725,30;um;Spot;Position;1;163
957,61;1016,55;3728,33;um;Spot;Position;1;164
963,75;1030,48;3728,72;um;Spot;Position;1;165
1027,40;1105,64;3744,09;um;Spot;Position;1;166
1253,32;902,59;3701,25;um;Spot;Position;1;167
1254,53;918,34;3701,16;um;Spot;Position;1;168
1161,41;936,40;3705,63;um;Spot;Position;1;169
1297,27;934,88;3708,11;um;Spot;Position;1;170
1255,29;898,14;3711,36;um;Spot;Position;1;171
1254,79;919,16;3712,70;um;Spot;Position;1;172
1253,84;903,05;3714,42;um;Spot;Position;1;173
1271,34;921,82;3714,87;um;Spot;Position;1;174
1297,63;935,18;3716,26;um;Spot;Position;1;175
1161,70;936,89;3715,14;um;Spot;Position;1;176
1271,45;922,03;3721,96;um;Spot;Position;1;177
1821,61;996,46;3699,69;um;Spot;Position;1;178
1853,84;1043,06;3718,93;um;Spot;Position;1;179
1903,24;895,99;3722,67;um;Spot;Position;1;180
1767,24;837,76;3727,12;um;Spot;Position;1;181
1871,28;861,79;3752,89;um;Spot;Position;1;182
1814,51;965,25;3759,05;um;Spot;Position;1;183
1645,99;1202,92;3716,61;um;Spot;Position;1;184
1713,84;1177,24;3709,76;um;Spot;Position;1;185
1698,01;1190,00;3710,03;um;Spot;Position;1;186
1698,11;1189,96;3718,77;um;Spot;Position;1;187
1773,89;1231,77;3718,87;um;Spot;Position;1;188
1778,29;1239,27;3719,26;um;Spot;Position;1;189
1778,09;1241,63;3747,15;um;Spot;Position;1;190
1867,34;1233,68;3754,38;um;Spot;Position;1;191
1820,39;1267,86;3755,01;um;Spot;Position;1;192
1937,05;1166,14;3753,81;um;Spot;Position;1;193
807,32;509,11;3813,65;um;Spot;Position;1;194
1020,68;537,48;3762,04;um;Spot;Position;1;195
1000,07;533,86;3774,91;um;Spot;Position;1;196
948,46;499,81;3808,08;um;Spot;Position;1;197
813,28;634,38;3763,95;um;Spot;Position;1;198
827,45;681,57;3789,06;um;Spot;Position;1;199
786,15;623,66;3815,34;um;Spot;Position;1;200
832,99;730,36;3761,73;um;Spot;Position;1;201
885,50;642,54;3765,29;um;Spot;Position;1;202
969,54;569,61;3768,78;um;Spot;Position;1;203
858,91;633,94;3784,78;um;Spot;Position;1;204
1641,73;684,21;3772,39;um;Spot;Position;1;205
1555,29;599,87;3810,11;um;Spot;Position;1;206
1784,58;764,09;3782,37;um;Spot;Position;1;207
962,99;876,54;3787,58;um;Spot;Position;1;208
1516,42;919,79;3764,80;um;Spot;Position;1;209
1959,54;973,71;3768,49;um;Spot;Position;1;210
2007,11;913,31;3776,20;um;Spot;Position;1;211
1105,80;1143,48;3764,68;um;Spot;Position;1;212
1091,35;1136,35;3770,13;um;Spot;Position;1;213
1001,90;1228,91;3779,49;um;Spot;Position;1;214
1767,79;1306,70;3776,91;um;Spot;Position;1;215
1669,96;1279,51;3778,51;um;Spot;Position;1;216
1689,39;1343,70;3810,48;um;Spot;Position;1;217
1676,68;1306,72;3815,55;um;Spot;Position;1;218
1464,19;1483,93;3767,33;um;Spot;Position;1;219
749,05;550,74;3847,34;um;Spot;Position;1;220
733,66;529,57;3853,50;um;Spot;Position;1;221
718,15;542,62;3868,36;um;Spot;Position;1;222
925,55;529,83;3822,53;um;Spot;Position;1;223
878,41;542,80;3847,83;um;Spot;Position;1;224
947,08;370,69;3861,31;um;Spot;Position;1;225
891,53;504,67;3863,02;um;Spot;Position;1;226
1064,59;398,73;3874,79;um;Spot;Position;1;227
1298,55;450,74;3855,20;um;Spot;Position;1;228
1306,37;450,90;3858,52;um;Spot;Position;1;229
578,25;736,00;3859,02;um;Spot;Position;1;230
1043,01;766,30;3828,82;um;Spot;Position;1;231
1360,77;759,95;3847,86;um;Spot;Position;1;232
340,43;1047,33;3821,30;um;Spot;Position;1;233
1953,08;954,63;3843,90;um;Spot;Position;1;234
857,08;1172,72;3851,50;um;Spot;Position;1;235
1689,56;1343,74;3819,67;um;Spot;Position;1;236
1837,61;1363,85;3840,73;um;Spot;Position;1;237
1829,90;1378,16;3842,69;um;Spot;Position;1;238
1896,88;1382,39;3850,39;um;Spot;Position;1;239
1873,84;1381,26;3865,23;um;Spot;Position;1;240
1861,33;1377,01;3869,19;um;Spot;Position;1;241
1905,40;1321,95;3876,80;um;Spot;Position;1;242
2030,45;1198,58;3868,82;um;Spot;Position;1;243
1054,42;1387,63;3843,71;um;Spot;Position;1;244
1001,39;1403,93;3873,37;um;Spot;Position;1;245
1702,15;1385,00;3860,98;um;Spot;Position;1;246
1825,41;1389,67;3875,74;um;Spot;Position;1;247
1836,41;1391,88;3873,21;um;Spot;Position;1;248
1813,84;1393,35;3873,69;um;Spot;Position;1;249
1849,91;1397,80;3879,32;um;Spot;Position;1;250
1830,83;1400,30;3879,32;um;Spot;Position;1;251
740,45;446,40;3889,49;um;Spot;Position;1;252
671,78;523,08;3896,72;um;Spot;Position;1;253
698,13;533,53;3896,58;um;Spot;Position;1;254
903,71;498,58;3889,72;um;Spot;Position;1;255
876,57;523,11;3923,30;um;Spot;Position;1;256
860,70;470,46;3933,36;um;Spot;Position;1;257
830,93;510,38;3939,20;um;Spot;Position;1;258
1161,87;740,36;3896,80;um;Spot;Position;1;259
1142,43;772,77;3908,15;um;Spot;Position;1;260
1687,58;1382,17;3881,48;um;Spot;Position;1;261
749,54;1423,28;3889,43;um;Spot;Position;1;262
716,71;1401,89;3905,43;um;Spot;Position;1;263
837,69;1395,33;3895,78;um;Spot;Position;1;264
1035,89;1408,11;3901,50;um;Spot;Position;1;265
967,26;1494,87;3923,23;um;Spot;Position;1;266
960,94;1579,14;3924,30;um;Spot;Position;1;267
881,54;1595,89;3933,76;um;Spot;Position;1;268
1164,05;1475,31;3904,32;um;Spot;Position;1;269
1213,68;1557,49;3934,52;um;Spot;Position;1;270
1810,93;1400,65;3884,67;um;Spot;Position;1;271
1855,73;1407,36;3889,47;um;Spot;Position;1;272
1711,06;1426,65;3887,99;um;Spot;Position;1;273
1830,13;1389,34;3892,90;um;Spot;Position;1;274
1855,99;1401,43;3892,58;um;Spot;Position;1;275
1702,18;1408,15;3891,66;um;Spot;Position;1;276
1849,68;1411,07;3911,05;um;Spot;Position;1;277
1706,62;1420,53;3910,63;um;Spot;Position;1;278
1773,17;1430,63;3910,32;um;Spot;Position;1;279
1812,55;1410,78;3915,29;um;Spot;Position;1;280
1808,41;1422,26;3922,92;um;Spot;Position;1;281
1767,97;1427,55;3923,51;um;Spot;Position;1;282
